scenario,mode,epsilon,seed,policy,H_malicious_hops,delta_undetected_s,delta_total_s,delta_evade_worst_s,floor_composed,floor_composed_worst,floor_autonomy_only,floor_network_only,floor_composed__kinematic_v15,floor_autonomy_only__kinematic_v15,floor_composed__empirical_receiver,floor_autonomy_only__empirical_receiver,floor_composed__empirical_ekf,floor_autonomy_only__empirical_ekf
1,low,10.0,39,AODV,2,4.132,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,39,DSDV,2,8.435,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,39,DSR,2,4.132,68.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,39,OLSR,2,8.435,8.435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,40,AODV,2,3.838,67.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,40,DSDV,1,0.0,63.415,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,10.0,40,DSR,2,3.838,127.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,40,OLSR,2,3.838,67.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,41,AODV,1,0.0,3.838,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,10.0,41,DSDV,1,3.838,3.838,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
1,low,10.0,41,DSR,2,0.0,247.676,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,10.0,41,OLSR,1,3.838,3.838,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
1,low,10.0,42,AODV,2,4.042,7.457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,42,DSDV,2,7.457,7.457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,42,DSR,2,4.042,67.457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,42,OLSR,2,7.457,7.457,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,43,AODV,2,7.253,7.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,43,DSDV,2,7.253,7.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,43,DSR,2,7.253,7.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,43,OLSR,2,7.253,7.253,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,44,AODV,2,4.018,7.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,44,DSDV,2,7.02,7.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,10.0,44,DSR,2,4.018,67.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
1,low,10.0,44,OLSR,2,7.02,7.02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,low,2.0,37,AODV,2,0.0,8.137,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,37,DSDV,2,0.0,8.137,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,37,DSR,2,0.0,8.137,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,37,OLSR,2,0.0,8.137,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,38,AODV,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,38,DSDV,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,38,DSR,2,0.0,68.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,38,OLSR,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,39,AODV,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,39,DSDV,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,39,DSR,2,0.0,68.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,39,OLSR,2,0.0,8.435,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,40,AODV,2,0.0,67.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,40,DSDV,1,0.0,63.415,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,40,DSR,2,0.0,127.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,40,OLSR,2,0.0,67.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,41,AODV,1,0.0,3.838,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,2.0,41,DSDV,1,0.0,3.838,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,2.0,41,DSR,2,0.0,247.676,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,41,OLSR,1,0.0,3.838,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25
1,low,2.0,42,AODV,2,0.0,7.457,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,42,DSDV,2,0.0,7.457,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,42,DSR,2,0.0,67.457,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,42,OLSR,2,0.0,7.457,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,43,AODV,2,0.0,7.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,43,DSDV,2,0.0,7.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,43,DSR,2,0.0,7.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,43,OLSR,2,0.0,7.253,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,44,AODV,2,0.0,7.02,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,44,DSDV,2,0.0,7.02,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,2.0,44,DSR,2,0.0,67.02,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
